Statistical profiling result from v8.log, (98761 ticks, 525 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
    525    0.5%

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  StorePolymorphicIC: _changeFactor {5}
      1    0.0%    0.0%  StorePolymorphicIC: _buffer {3}
      1    0.0%    0.0%  StorePolymorphicIC: __ultron {4}
      1    0.0%    0.0%  RegExp: close {4}
      1    0.0%    0.0%  RegExp: ^Transfer-Encoding$
      1    0.0%    0.0%  RegExp: ^(\\d{1\,3}\\.){3\,3}\\d{1\,3}$
      1    0.0%    0.0%  RegExp: \, *
      1    0.0%    0.0%  RegExp: [^\\x20-\\x7E]
      1    0.0%    0.0%  RegExp: :[0-9]*$
      1    0.0%    0.0%  LazyCompile: ~unrefTimeout timers.js:531:22
      1    0.0%    0.0%  LazyCompile: ~toLowerCase native string.js:533:29
      1    0.0%    0.0%  LazyCompile: ~tickOnSocket _http_client.js:455:22
      1    0.0%    0.0%  LazyCompile: ~stringify native json.js:155:23
      1    0.0%    0.0%  LazyCompile: ~storeHeader _http_outgoing.js:302:21
      1    0.0%    0.0%  LazyCompile: ~spliceOne events.js:423:19
      1    0.0%    0.0%  LazyCompile: ~slice buffer.js:613:40
      1    0.0%    0.0%  LazyCompile: ~reuse timers.js:122:15
      1    0.0%    0.0%  LazyCompile: ~resume _stream_readable.js:708:16
      1    0.0%    0.0%  LazyCompile: ~remove _linklist.js:28:16
      1    0.0%    0.0%  LazyCompile: ~readDoubleLE buffer.js:812:54
      1    0.0%    0.0%  LazyCompile: ~prefinish _stream_writable.js:455:19
      1    0.0%    0.0%  LazyCompile: ~onwrite _stream_writable.js:314:17
      1    0.0%    0.0%  LazyCompile: ~onerror /opt/box/node_modules/ws/lib/WebSocket.js:849:44
      1    0.0%    0.0%  LazyCompile: ~onSocketEnd net.js:236:21
      1    0.0%    0.0%  LazyCompile: ~onOpen /opt/box/node_modules/ws/lib/WebSocket.js:432:19
      1    0.0%    0.0%  LazyCompile: ~normalizeConnectArgs net.js:68:30
      1    0.0%    0.0%  LazyCompile: ~module.exports.isValidErrorCode /opt/box/node_modules/ws/lib/ErrorCodes.js:8:29
      1    0.0%    0.0%  LazyCompile: ~maybeReadMore _stream_readable.js:422:23
      1    0.0%    0.0%  LazyCompile: ~listenerCount events.js:406:23
      1    0.0%    0.0%  LazyCompile: ~isFinite native v8natives.js:1107:24
      1    0.0%    0.0%  LazyCompile: ~howMuchToRead _stream_readable.js:211:23
      1    0.0%    0.0%  LazyCompile: ~exports.active timers.js:31:26
      1    0.0%    0.0%  LazyCompile: ~emitTwo events.js:85:17
      1    0.0%    0.0%  LazyCompile: ~emitNone events.js:65:18
      1    0.0%    0.0%  LazyCompile: ~doWrite _stream_writable.js:284:17
      1    0.0%    0.0%  LazyCompile: ~commandFromString /opt/box/node_modules/socks/lib/socks-client.js:269:35
      1    0.0%    0.0%  LazyCompile: ~append _linklist.js:44:16
      1    0.0%    0.0%  LazyCompile: ~_tickCallback node.js:335:27
      1    0.0%    0.0%  LazyCompile: ~_flushOutput _http_outgoing.js:660:63
      1    0.0%    0.0%  LazyCompile: ~Writable.end _stream_writable.js:420:34
      1    0.0%    0.0%  LazyCompile: ~WebSocket.addEventListener /opt/box/node_modules/ws/lib/WebSocket.js:414:48
      1    0.0%    0.0%  LazyCompile: ~Uint8Array native typedarray.js:122:31
      1    0.0%    0.0%  LazyCompile: ~ToPositiveInteger native runtime.js:672:27
      1    0.0%    0.0%  LazyCompile: ~SocksAgent.addRequest /opt/box/node_modules/socks/lib/socks-agent.js:65:43
      1    0.0%    0.0%  LazyCompile: ~Socket net.js:109:16
      1    0.0%    0.0%  LazyCompile: ~Receiver.reset /opt/box/node_modules/ws/lib/Receiver.js:268:36
      1    0.0%    0.0%  LazyCompile: ~Receiver.expectData /opt/box/node_modules/ws/lib/Receiver.js:153:41
      1    0.0%    0.0%  LazyCompile: ~Receiver.cleanup /opt/box/node_modules/ws/lib/Receiver.js:105:38
      1    0.0%    0.0%  LazyCompile: ~Receiver /opt/box/node_modules/ws/lib/Receiver.js:18:19
      1    0.0%    0.0%  LazyCompile: ~Packet.readFloat32LE /opt/box/node_modules/agario-client/packet.js:123:28
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage.write _http_outgoing.js:428:43
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage.end _http_outgoing.js:540:41
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage _http_outgoing.js:47:25
      1    0.0%    0.0%  LazyCompile: ~Options.isDefinedAndNonNull /opt/box/node_modules/ws/node_modules/options/lib/options.js:79:38
      1    0.0%    0.0%  LazyCompile: ~Options /opt/box/node_modules/ws/node_modules/options/lib/options.js:8:17
      1    0.0%    0.0%  LazyCompile: ~NativeModule.exists node.js:911:33
      1    0.0%    0.0%  LazyCompile: ~NativeModule.compile node.js:949:44
      1    0.0%    0.0%  LazyCompile: ~Logger.delta /opt/box/logger.js:116:24
      1    0.0%    0.0%  LazyCompile: ~InnerArrayIndexOf native array.js:1031:27
      1    0.0%    0.0%  LazyCompile: ~IncomingMessage._addHeaderLines _http_incoming.js:98:53
      1    0.0%    0.0%  LazyCompile: ~Hash.digest crypto.js:75:33
      1    0.0%    0.0%  LazyCompile: ~Coordinator.checkWaypoint /opt/box/coordinator.js:255:47
      1    0.0%    0.0%  LazyCompile: ~ClientRequest._implicitHeader _http_client.js:165:51
      1    0.0%    0.0%  LazyCompile: ~Client.reset /opt/box/node_modules/agario-client/agario-client.js:186:20
      1    0.0%    0.0%  LazyCompile: ~Client.onDisconnect /opt/box/node_modules/agario-client/agario-client.js:129:27
      1    0.0%    0.0%  LazyCompile: ~Client.moveTo /opt/box/node_modules/agario-client/agario-client.js:601:21
      1    0.0%    0.0%  LazyCompile: ~Client.connect /opt/box/node_modules/agario-client/agario-client.js:37:22
      1    0.0%    0.0%  LazyCompile: ~CallSite native messages.js:328:18
      1    0.0%    0.0%  LazyCompile: ~BufferPool /opt/box/node_modules/ws/lib/BufferPool.js:9:20
      1    0.0%    0.0%  LazyCompile: ~Bot.moveTo /opt/box/bot.js:285:32
      1    0.0%    0.0%  LazyCompile: ~Bot.disconnect /opt/box/bot.js:188:36
      1    0.0%    0.0%  LazyCompile: ~Bot /opt/box/bot.js:9:13
      1    0.0%    0.0%  LazyCompile: ~Ball.setSize /opt/box/node_modules/agario-client/agario-client.js:699:22
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /opt/box/task.js:234:59
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /opt/box/task.js:190:46
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /opt/box/task.js:184:47
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /opt/box/node_modules/ws/node_modules/options/lib/options.js:44:42
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /opt/box/node_modules/ws/lib/Extensions.js:64:30
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /opt/box/node_modules/ws/lib/Extensions.js:61:61
      1    0.0%    0.0%  LazyCompile: toString native v8natives.js:85:24
      1    0.0%    0.0%  LazyCompile: receivedResponse /opt/box/node_modules/socks/lib/socks-client.js:205:38
      1    0.0%    0.0%  LazyCompile: *reuse timers.js:122:15
      1    0.0%    0.0%  LazyCompile: *resume_ _stream_readable.js:715:17
      1    0.0%    0.0%  LazyCompile: *realHandler /opt/box/node_modules/ws/lib/WebSocket.js:799:23
      1    0.0%    0.0%  LazyCompile: *prefinish _stream_writable.js:455:19
      1    0.0%    0.0%  LazyCompile: *parserOnMessageComplete _http_common.js:115:33
      1    0.0%    0.0%  LazyCompile: *parserOnHeadersComplete _http_common.js:42:33
      1    0.0%    0.0%  LazyCompile: *onSocketEnd net.js:236:21
      1    0.0%    0.0%  LazyCompile: *on /opt/box/node_modules/ws/node_modules/ultron/index.js:40:34
      1    0.0%    0.0%  LazyCompile: *maybeReadMore_ _stream_readable.js:429:24
      1    0.0%    0.0%  LazyCompile: *format /opt/box/node_modules/ws/lib/Extensions.js:54:16
      1    0.0%    0.0%  LazyCompile: *exports.clearTimeout timers.js:222:32
      1    0.0%    0.0%  LazyCompile: *destroy /opt/box/node_modules/ws/node_modules/ultron/index.js:117:44
      1    0.0%    0.0%  LazyCompile: *createWriteReq net.js:697:24
      1    0.0%    0.0%  LazyCompile: *append _linklist.js:44:16
      1    0.0%    0.0%  LazyCompile: *Ultron /opt/box/node_modules/ws/node_modules/ultron/index.js:24:16
      1    0.0%    0.0%  LazyCompile: *ToUint32 native runtime.js:601:18
      1    0.0%    0.0%  LazyCompile: *TickObject node.js:471:24
      1    0.0%    0.0%  LazyCompile: *Socket.destroy net.js:493:36
      1    0.0%    0.0%  LazyCompile: *Socket._onTimeout net.js:316:39
      1    0.0%    0.0%  LazyCompile: *SmartBuffer.toBuffer /opt/box/node_modules/socks/node_modules/smart-buffer/lib/smart-buffer.js:317:47
      1    0.0%    0.0%  LazyCompile: *Sender.applyExtensions /opt/box/node_modules/ws/lib/Sender.js:280:44
      1    0.0%    0.0%  LazyCompile: *Proxy.fail /opt/box/proxy.js:23:32
      1    0.0%    0.0%  LazyCompile: *PropertyDescriptor_GetSetter native v8natives.js:367:47
      1    0.0%    0.0%  LazyCompile: *Packet.toString /opt/box/node_modules/agario-client/packet.js:175:23
      1    0.0%    0.0%  LazyCompile: *OutgoingMessage._flush _http_outgoing.js:642:44
      1    0.0%    0.0%  LazyCompile: *IncomingMessage._addHeaderLine _http_incoming.js:127:52
      1    0.0%    0.0%  LazyCompile: *Hash.digest crypto.js:75:33
      1    0.0%    0.0%  LazyCompile: *DefaultString native runtime.js:657:23
      1    0.0%    0.0%  LazyCompile: *Coordinator.onBallRename /opt/box/coordinator.js:150:46
      1    0.0%    0.0%  LazyCompile: *ConvertDescriptorArrayToDescriptor native v8natives.js:374:44
      1    0.0%    0.0%  LazyCompile: *Buffer.writeUInt32LE buffer.js:908:42
      1    0.0%    0.0%  LazyCompile: *Buffer.writeInt32LE buffer.js:1018:41
      1    0.0%    0.0%  LazyCompile: *Bot.processors.32 /opt/box/bot.js:469:19
      1    0.0%    0.0%  LazyCompile: *Ball.setName /opt/box/node_modules/agario-client/agario-client.js:711:22
      1    0.0%    0.0%  LazyCompile: *<anonymous> node.js:629:48
      1    0.0%    0.0%  LazyCompile: *<anonymous> /opt/box/node_modules/socks/node_modules/ip/lib/ip.js:12:33
      1    0.0%    0.0%  KeyedStorePolymorphicIC: args_count: 0 {1}
      1    0.0%    0.0%  KeyedStoreIC: Origin {3}
      1    0.0%    0.0%  KeyedStoreIC:  {1099}
      1    0.0%    0.0%  Handler: writeUInt32LE
      1    0.0%    0.0%  Handler: write {2}
      1    0.0%    0.0%  Handler: write {1}
      1    0.0%    0.0%  Handler: write
      1    0.0%    0.0%  Handler: utf8Write
      1    0.0%    0.0%  Handler: useChunkedEncodingByDefault
      1    0.0%    0.0%  Handler: upgrade
      1    0.0%    0.0%  Handler: undefined
      1    0.0%    0.0%  Handler: type
      1    0.0%    0.0%  Handler: toUpperCase
      1    0.0%    0.0%  Handler: timeout {1}
      1    0.0%    0.0%  Handler: timeout
      1    0.0%    0.0%  Handler: target
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 2e0fb746) {1}
      1    0.0%    0.0%  Handler: statusCode
      1    0.0%    0.0%  Handler: slice
      1    0.0%    0.0%  Handler: setTimeout {2}
      1    0.0%    0.0%  Handler: setTimeout {1}
      1    0.0%    0.0%  Handler: setTimeout
      1    0.0%    0.0%  Handler: setName
      1    0.0%    0.0%  Handler: resume
      1    0.0%    0.0%  Handler: response {4}
      1    0.0%    0.0%  Handler: response {37}
      1    0.0%    0.0%  Handler: response {35}
      1    0.0%    0.0%  Handler: response {30}
      1    0.0%    0.0%  Handler: response {2}
      1    0.0%    0.0%  Handler: response {22}
      1    0.0%    0.0%  Handler: response {21}
      1    0.0%    0.0%  Handler: response {20}
      1    0.0%    0.0%  Handler: response {10}
      1    0.0%    0.0%  Handler: reset {1}
      1    0.0%    0.0%  Handler: removeListener {3}
      1    0.0%    0.0%  Handler: removeListener {1}
      1    0.0%    0.0%  Handler: removeListener
      1    0.0%    0.0%  Handler: rejectUnauthorized
      1    0.0%    0.0%  Handler: readyState
      1    0.0%    0.0%  Handler: readUInt8 {2}
      1    0.0%    0.0%  Handler: readUInt32LE {1}
      1    0.0%    0.0%  Handler: push {4}
      1    0.0%    0.0%  Handler: protocol
      1    0.0%    0.0%  Handler: processors {1}
      1    0.0%    0.0%  Handler: pop
      1    0.0%    0.0%  Handler: pfx {1}
      1    0.0%    0.0%  Handler: pfx
      1    0.0%    0.0%  Handler: path {1}
      1    0.0%    0.0%  Handler: path
      1    0.0%    0.0%  Handler: passphrase {2}
      1    0.0%    0.0%  Handler: passphrase {1}
      1    0.0%    0.0%  Handler: passphrase
      1    0.0%    0.0%  Handler: origin {2}
      1    0.0%    0.0%  Handler: origin {1}
      1    0.0%    0.0%  Handler: origin
      1    0.0%    0.0%  Handler: open
      1    0.0%    0.0%  Handler: opcode {7}
      1    0.0%    0.0%  Handler: opcode {6}
      1    0.0%    0.0%  Handler: opcode {4}
      1    0.0%    0.0%  Handler: opcode
      1    0.0%    0.0%  Handler: oncomplete {2}
      1    0.0%    0.0%  Handler: oncomplete
      1    0.0%    0.0%  Handler: onSocket
      1    0.0%    0.0%  Handler: onClose
      1    0.0%    0.0%  Handler: on {1}
      1    0.0%    0.0%  Handler: objectMode
      1    0.0%    0.0%  Handler: method
      1    0.0%    0.0%  Handler: masked {3}
      1    0.0%    0.0%  Handler: masked {12}
      1    0.0%    0.0%  Handler: masked {11}
      1    0.0%    0.0%  Handler: masked {10}
      1    0.0%    0.0%  Handler: map
      1    0.0%    0.0%  Handler: log
      1    0.0%    0.0%  Handler: localAddress {2}
      1    0.0%    0.0%  Handler: localAddress {1}
      1    0.0%    0.0%  Handler: localAddress
      1    0.0%    0.0%  Handler: listener {1}
      1    0.0%    0.0%  Handler: last_tick
      1    0.0%    0.0%  Handler: lastFragment {2}
      1    0.0%    0.0%  Handler: lastFragment {14}
      1    0.0%    0.0%  Handler: lastFragment {13}
      1    0.0%    0.0%  Handler: lastFragment {11}
      1    0.0%    0.0%  Handler: indexOf
      1    0.0%    0.0%  Handler: in_tty
      1    0.0%    0.0%  Handler: host {4}
      1    0.0%    0.0%  Handler: host {2}
      1    0.0%    0.0%  Handler: host
      1    0.0%    0.0%  Handler: headers {4}
      1    0.0%    0.0%  Handler: headers {2}
      1    0.0%    0.0%  Handler: headers {1}
      1    0.0%    0.0%  Handler: headers
      1    0.0%    0.0%  Handler: get {1}
      1    0.0%    0.0%  Handler: free
      1    0.0%    0.0%  Handler: frameAndSend
      1    0.0%    0.0%  Handler: fragmentedOperation {5}
      1    0.0%    0.0%  Handler: finish {1}
      1    0.0%    0.0%  Handler: expectHeader
      1    0.0%    0.0%  Handler: execute
      1    0.0%    0.0%  Handler: error {9}
      1    0.0%    0.0%  Handler: error {96}
      1    0.0%    0.0%  Handler: error {95}
      1    0.0%    0.0%  Handler: error {88}
      1    0.0%    0.0%  Handler: error {86}
      1    0.0%    0.0%  Handler: error {85}
      1    0.0%    0.0%  Handler: error {83}
      1    0.0%    0.0%  Handler: error {80}
      1    0.0%    0.0%  Handler: error {79}
      1    0.0%    0.0%  Handler: error {77}
      1    0.0%    0.0%  Handler: error {74}
      1    0.0%    0.0%  Handler: error {72}
      1    0.0%    0.0%  Handler: error {71}
      1    0.0%    0.0%  Handler: error {66}
      1    0.0%    0.0%  Handler: error {65}
      1    0.0%    0.0%  Handler: error {63}
      1    0.0%    0.0%  Handler: error {62}
      1    0.0%    0.0%  Handler: error {5}
      1    0.0%    0.0%  Handler: error {52}
      1    0.0%    0.0%  Handler: error {4}
      1    0.0%    0.0%  Handler: error {42}
      1    0.0%    0.0%  Handler: error {33}
      1    0.0%    0.0%  Handler: error {20}
      1    0.0%    0.0%  Handler: error {1}
      1    0.0%    0.0%  Handler: error {16}
      1    0.0%    0.0%  Handler: error {15}
      1    0.0%    0.0%  Handler: error {112}
      1    0.0%    0.0%  Handler: error {110}
      1    0.0%    0.0%  Handler: error {109}
      1    0.0%    0.0%  Handler: error {107}
      1    0.0%    0.0%  Handler: error {106}
      1    0.0%    0.0%  Handler: error {105}
      1    0.0%    0.0%  Handler: error {103}
      1    0.0%    0.0%  Handler: error {101}
      1    0.0%    0.0%  Handler: endPacket
      1    0.0%    0.0%  Handler: end
      1    0.0%    0.0%  Handler: emit {6}
      1    0.0%    0.0%  Handler: emit {5}
      1    0.0%    0.0%  Handler: emit {4}
      1    0.0%    0.0%  Handler: emit
      1    0.0%    0.0%  Handler: domain {9}
      1    0.0%    0.0%  Handler: domain {8}
      1    0.0%    0.0%  Handler: domain {6}
      1    0.0%    0.0%  Handler: domain {1}
      1    0.0%    0.0%  Handler: domain
      1    0.0%    0.0%  Handler: disconnect
      1    0.0%    0.0%  Handler: destroy {1}
      1    0.0%    0.0%  Handler: coordinator
      1    0.0%    0.0%  Handler: connected
      1    0.0%    0.0%  Handler: connect
      1    0.0%    0.0%  Handler: compressed {5}
      1    0.0%    0.0%  Handler: compressed {3}
      1    0.0%    0.0%  Handler: compressed {2}
      1    0.0%    0.0%  Handler: compressed
      1    0.0%    0.0%  Handler: color
      1    0.0%    0.0%  Handler: close {6}
      1    0.0%    0.0%  Handler: close {5}
      1    0.0%    0.0%  Handler: close {3}
      1    0.0%    0.0%  Handler: close {2}
      1    0.0%    0.0%  Handler: close
      1    0.0%    0.0%  Handler: ciphers
      1    0.0%    0.0%  Handler: cert {1}
      1    0.0%    0.0%  Handler: cert
      1    0.0%    0.0%  Handler: call {6}
      1    0.0%    0.0%  Handler: ca {2}
      1    0.0%    0.0%  Handler: buffer {2}
      1    0.0%    0.0%  Handler: binary {3}
      1    0.0%    0.0%  Handler: binary
      1    0.0%    0.0%  Handler: base64Slice
      1    0.0%    0.0%  Handler: async
      1    0.0%    0.0%  Handler: agent {2}
      1    0.0%    0.0%  Handler: agent {1}
      1    0.0%    0.0%  Handler: address
      1    0.0%    0.0%  Handler: activeFragmentedOperation {5}
      1    0.0%    0.0%  Handler: activeFragmentedOperation {14}
      1    0.0%    0.0%  Handler: activeFragmentedOperation {12}
      1    0.0%    0.0%  Handler: activeFragmentedOperation
      1    0.0%    0.0%  Handler: _writeGeneric
      1    0.0%    0.0%  Handler: _write {1}
      1    0.0%    0.0%  Handler: _write
      1    0.0%    0.0%  Handler: _unrefTimer {1}
      1    0.0%    0.0%  Handler: _socketEnd {2}
      1    0.0%    0.0%  Handler: _socketEnd {1}
      1    0.0%    0.0%  Handler: _socketEnd
      1    0.0%    0.0%  Handler: _read
      1    0.0%    0.0%  Handler: _maxListeners {8}
      1    0.0%    0.0%  Handler: _maxListeners {7}
      1    0.0%    0.0%  Handler: _maxListeners {4}
      1    0.0%    0.0%  Handler: _maxListeners {3}
      1    0.0%    0.0%  Handler: _maxListeners
      1    0.0%    0.0%  Handler: _listener {1}
      1    0.0%    0.0%  Handler: _idlePrev {3}
      1    0.0%    0.0%  Handler: _headerSent
      1    0.0%    0.0%  Handler: _hasBody
      1    0.0%    0.0%  Handler: _eventsCount
      1    0.0%    0.0%  Handler: _events {8}
      1    0.0%    0.0%  Handler: _events {6}
      1    0.0%    0.0%  Handler: _events {4}
      1    0.0%    0.0%  Handler: _deferToConnect
      1    0.0%    0.0%  Handler: __ultron {8}
      1    0.0%    0.0%  Handler: __ultron {6}
      1    0.0%    0.0%  Handler: __ultron {31}
      1    0.0%    0.0%  Handler: __ultron {1}
      1    0.0%    0.0%  Handler: __ultron {12}
      1    0.0%    0.0%  Handler: __ultron {10}
      1    0.0%    0.0%  Handler: Upgrade {3}
      1    0.0%    0.0%  Handler: Upgrade {2}
      1    0.0%    0.0%  Handler: Sec-WebSocket-Extensions
      1    0.0%    0.0%  Handler: Origin
      1    0.0%    0.0%  Handler: Math
      1    0.0%    0.0%  Handler: Date
      1    0.0%    0.0%  Handler: Connection {3}
      1    0.0%    0.0%  Handler: Connection {2}
      1    0.0%    0.0%  Handler: Connection {1}
      1    0.0%    0.0%  Handler: Connection
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {21}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {20}
      1    0.0%    0.0%  Handler: $toString
      1    0.0%    0.0%  Function: ~<anonymous> /opt/box/task.js:76:18
      1    0.0%    0.0%  Builtin: HandleApiCallConstruct
      1    0.0%    0.0%  Builtin: HandleApiCall

 [C++]:
   ticks  total  nonlib   name
   8510    8.6%    9.3%  write
   2155    2.2%    2.4%  v8::internal::LookupIterator::Next()
   1506    1.5%    1.6%  v8::internal::Builtin_ArrayPush(int, v8::internal::Object**, v8::internal::Isolate*)
   1444    1.5%    1.6%  v8::internal::Object* v8::internal::VisitWeakList<v8::internal::JSFunction>(v8::internal::Heap*, v8::internal::Object*, v8::internal::WeakObjectRetainer*)
   1086    1.1%    1.2%  v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*, bool)
   1037    1.1%    1.1%  __libc_malloc
    719    0.7%    0.8%  _IO_vfprintf
    703    0.7%    0.8%  v8::internal::PrototypeIterator::Advance()
    688    0.7%    0.8%  v8::internal::JSObject::SetPrototype(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Object>, bool)
    612    0.6%    0.7%  v8::internal::Context::native_context()
    587    0.6%    0.6%  v8::internal::Runtime_Apply(int, v8::internal::Object**, v8::internal::Isolate*)
    569    0.6%    0.6%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
    547    0.6%    0.6%  v8::internal::Runtime_BoundFunctionGetBindings(int, v8::internal::Object**, v8::internal::Isolate*)
    544    0.6%    0.6%  v8::internal::InnerPointerToCodeCache::GcSafeFindCodeForInnerPointer(unsigned char*)
    506    0.5%    0.6%  v8::internal::JSArray::HasReadOnlyLength(v8::internal::Handle<v8::internal::JSArray>)
    492    0.5%    0.5%  v8::internal::Heap::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
    464    0.5%    0.5%  v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::FixedArray*, v8::internal::Map*)
    448    0.5%    0.5%  v8::internal::Map::DictionaryElementsInPrototypeChainOnly()
    440    0.4%    0.5%  v8::internal::Runtime::KeyedGetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode)
    429    0.4%    0.5%  __lll_unlock_wake
    400    0.4%    0.4%  v8::internal::JSTypedArray::GetBuffer()
    394    0.4%    0.4%  v8::internal::Runtime::GetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode)
    385    0.4%    0.4%  v8::internal::JSObjectWalkVisitor<v8::internal::AllocationSiteUsageContext>::StructureWalk(v8::internal::Handle<v8::internal::JSObject>)
    364    0.4%    0.4%  int v8::internal::BinarySearch<(v8::internal::SearchMode)0, v8::internal::TransitionArray>(v8::internal::TransitionArray*, v8::internal::Name*, int, int, int, int*)
    363    0.4%    0.4%  v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
    356    0.4%    0.4%  v8::internal::Factory::NewAllocationSite()
    348    0.4%    0.4%  v8::internal::Context::RemoveOptimizedFunction(v8::internal::JSFunction*)
    347    0.4%    0.4%  v8::internal::Isolate::native_context()
    345    0.3%    0.4%  v8::internal::Map::ReconfigureProperty(v8::internal::Handle<v8::internal::Map>, int, v8::internal::PropertyKind, PropertyAttributes, v8::internal::Representation, v8::internal::Handle<v8::internal::TypeImpl<v8::internal::HeapTypeConfig> >, v8::internal::StoreMode)
    320    0.3%    0.3%  __GI___pthread_mutex_lock
    319    0.3%    0.3%  v8::internal::Deoptimizer::DoComputeCompiledStubFrame(v8::internal::TranslationIterator*, int)
    299    0.3%    0.3%  v8::internal::CreateObjectLiteralBoilerplate(v8::internal::Isolate*, v8::internal::Handle<v8::internal::FixedArray>, v8::internal::Handle<v8::internal::FixedArray>, bool, bool, bool)
    295    0.3%    0.3%  v8::internal::TransitionArray::SearchTransition(v8::internal::Map*, v8::internal::PropertyKind, v8::internal::Name*, PropertyAttributes)
    278    0.3%    0.3%  v8::internal::LookupIterator::GetRoot(v8::internal::Handle<v8::internal::Object>, v8::internal::Isolate*)
    271    0.3%    0.3%  v8::internal::TransitionArray::GetPrototypeTransition(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Object>)
    264    0.3%    0.3%  v8::internal::JSObject::MigrateFastToFast(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>)
    263    0.3%    0.3%  fwrite
    254    0.3%    0.3%  v8::internal::JSObject::UpdateAllocationSite(v8::internal::Handle<v8::internal::JSObject>, v8::internal::ElementsKind)
    247    0.3%    0.3%  v8::internal::HashTable<v8::internal::NameDictionary, v8::internal::NameDictionaryShape, v8::internal::Handle<v8::internal::Name> >::FindEntry(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Name>)
    245    0.2%    0.3%  v8::internal::Map::PrepareForDataProperty(v8::internal::Handle<v8::internal::Map>, int, v8::internal::Handle<v8::internal::Object>)
    243    0.2%    0.3%  v8::internal::JSObject::GetElementsAccessor()
    235    0.2%    0.3%  v8::internal::Factory::NewNumber(double, v8::internal::PretenureFlag)
    231    0.2%    0.3%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::EvacuateObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
    228    0.2%    0.2%  v8::internal::TranslatedState::Init(unsigned char*, v8::internal::JSFunction*, v8::internal::TranslationIterator*, v8::internal::FixedArray*, v8::internal::RegisterValues*, _IO_FILE*)
    221    0.2%    0.2%  cfree
    218    0.2%    0.2%  v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
    217    0.2%    0.2%  node::Buffer::Copy(v8::FunctionCallbackInfo<v8::Value> const&)
    216    0.2%    0.2%  _IO_default_xsputn
    210    0.2%    0.2%  __fmod_finite
    199    0.2%    0.2%  v8::internal::LookupIterator::LookupIterator(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
    199    0.2%    0.2%  v8::internal::LargeObjectSpace::FindPage(unsigned char*)
    199    0.2%    0.2%  v8::internal::IncrementalMarking::Step(long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceMarkingAction, v8::internal::IncrementalMarking::ForceCompletionAction)
    198    0.2%    0.2%  node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
    197    0.2%    0.2%  v8::internal::Object::GetPropertyWithAccessor(v8::internal::LookupIterator*, v8::internal::LanguageMode)
    197    0.2%    0.2%  v8::internal::LookupIterator::ReloadPropertyInformation()
    193    0.2%    0.2%  v8::internal::JSObjectWalkVisitor<v8::internal::AllocationSiteCreationContext>::StructureWalk(v8::internal::Handle<v8::internal::JSObject>)
