Statistical profiling result from v8.log, (98761 ticks, 525 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
    525    0.5%

 [Shared libraries]:
   ticks  total  nonlib   name
    127    0.1%    0.1%  Builtin: JSEntryTrampoline
    124    0.1%    0.1%  Handler: An IC handler from the snapshot {14}
    123    0.1%    0.1%  Stub: CallFunctionStub_Args0 {1}
    123    0.1%    0.1%  LazyCompile: *onbinary /opt/box/node_modules/ws/lib/WebSocket.js:820:46
    118    0.1%    0.1%  Stub: ToBooleanStub {1}
    118    0.1%    0.1%  Stub: ArgumentsAccessStub {1}
    109    0.1%    0.1%  Stub: CompareICStub {2}
    107    0.1%    0.1%  Stub: BinaryOpWithAllocationSiteStub
    106    0.1%    0.1%  LazyCompile: *Coordinator.onBallMove /opt/box/coordinator.js:160:44
    104    0.1%    0.1%  LazyCompile: *DefaultNumber native runtime.js:642:23
    103    0.1%    0.1%  Stub: StringAddStub_CheckNone_NotTenured
    103    0.1%    0.1%  Stub: CallConstructStub {1}
    102    0.1%    0.1%  Handler: An IC handler from the snapshot {2}
     98    0.1%    0.1%  Stub: CallApiAccessorStub {3}
     97    0.1%    0.1%  LazyCompile: *GPS.locate /opt/box/gps.js:41:32
     92    0.1%    0.1%  Stub: LoadConstantStub {8}
     89    0.1%    0.1%  Stub: StoreTransitionStub {26}
     89    0.1%    0.1%  LazyCompile: *Ball.update /opt/box/node_modules/agario-client/agario-client.js:720:21
     88    0.1%    0.1%  Stub: StoreFieldStub {12}
     88    0.1%    0.1%  Stub: CallFunctionStub
     87    0.1%    0.1%  LazyCompile: *emitTwo events.js:85:17
     87    0.1%    0.1%  LazyCompile: *ToPositiveInteger native runtime.js:672:27
     80    0.1%    0.1%  Stub: StoreFieldStub {7}
     76    0.1%    0.1%  Stub: CallApiAccessorStub {2}
     71    0.1%    0.1%  LazyCompile: *initAsClient /opt/box/node_modules/ws/lib/WebSocket.js:547:22
     71    0.1%    0.1%  LazyCompile: *Packet.readUInt32LE /opt/box/node_modules/agario-client/packet.js:71:27
     70    0.1%    0.1%  Stub: StoreTransitionStub {2}
     70    0.1%    0.1%  Stub: FastNewContextStub
     69    0.1%    0.1%  Stub: FastNewContextStub {2}
     64    0.1%    0.1%  LazyCompile: *ToString native runtime.js:563:18
     64    0.1%    0.1%  LazyCompile: *NonNumberToNumber native runtime.js:553:27
     63    0.1%    0.1%  LazyCompile: *<anonymous> /opt/box/node_modules/ws/lib/BufferPool.js:32:41
     62    0.1%    0.1%  Handler: reset
     61    0.1%    0.1%  Handler: $nonNumberToNumber
     57    0.1%    0.1%  Builtin: NotifyStubFailureSaveDoubles
     56    0.1%    0.1%  Stub: CompareICStub {1}
     56    0.1%    0.1%  Handler: constructor {NaN}
     55    0.1%    0.1%  Stub: StoreFieldStub {9}
     54    0.1%    0.1%  Stub: LoadFieldStub {13}
     54    0.1%    0.1%  Stub: InstanceofStub
     54    0.1%    0.1%  LazyCompile: *ToNumber native runtime.js:542:18
     54    0.1%    0.1%  Handler: call {3}
     54    0.1%    0.1%  Handler: Buffer
     53    0.1%    0.1%  Stub: ToBooleanStub
     53    0.1%    0.1%  Handler: push
     51    0.1%    0.1%  Stub: ArgumentsAccessStub_ReadElement
     50    0.1%    0.1%  Stub: CompareNilICStub
     50    0.1%    0.1%  LazyCompile: *opcodes.2.getData /opt/box/node_modules/ws/lib/Receiver.js:510:22
     49    0.0%    0.1%  Stub: ToBooleanStub(Smi)
     49    0.0%    0.1%  Stub: RecordWriteStub {17}
     48    0.0%    0.1%  Stub: ArraySingleArgumentConstructorStub
     48    0.0%    0.1%  LazyCompile: *<anonymous> /opt/box/node_modules/ws/lib/Receiver.js:37:14
     48    0.0%    0.1%  Handler: An IC handler from the snapshot {10}
     46    0.0%    0.1%  Stub: LoadFastElementStub
     46    0.0%    0.1%  Stub: FastNewContextStub {1}
     45    0.0%    0.0%  LazyCompile: *Packet.readSInt32LE /opt/box/node_modules/agario-client/packet.js:97:27
     45    0.0%    0.0%  Handler: substr
     44    0.0%    0.0%  LazyCompile: ~DefaultNumber native runtime.js:642:23
     43    0.0%    0.0%  Stub: RecordWriteStub {5}
     43    0.0%    0.0%  Stub: LoadFastElementStub {1}
     42    0.0%    0.0%  Stub: StubFailureTrampolineStub
     42    0.0%    0.0%  LazyCompile: ~Packet.readUInt8 /opt/box/node_modules/agario-client/packet.js:19:24
     42    0.0%    0.0%  Handler: error {49}
     41    0.0%    0.0%  Stub: StringAddStub_CheckNone_Tenured
     41    0.0%    0.0%  Stub: LoadConstantStub {9}
     41    0.0%    0.0%  Stub: CompareNilICStub(NullValue)(MonomorphicMap) {2}
     41    0.0%    0.0%  LazyCompile: *Ball.setCords /opt/box/node_modules/agario-client/agario-client.js:687:23
     40    0.0%    0.0%  LazyCompile: ~Socket._writeGeneric net.js:622:42
     40    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
     39    0.0%    0.0%  Stub: LoadConstantStub {10}
     39    0.0%    0.0%  Handler: get
     38    0.0%    0.0%  StoreMegamorphic: args_count: 0
     38    0.0%    0.0%  Handler: An IC handler from the snapshot {16}
     37    0.0%    0.0%  Stub: RecordWriteStub {10}
     36    0.0%    0.0%  LazyCompile: *substr native string.js:509:22
     36    0.0%    0.0%  Handler: processors
     35    0.0%    0.0%  Handler: error {23}
     34    0.0%    0.0%  Stub: RecordWriteStub {24}
     34    0.0%    0.0%  LazyCompile: IN native runtime.js:352:15
     34    0.0%    0.0%  LazyCompile: *module.exports.BufferUtil.merge /opt/box/node_modules/ws/lib/BufferUtil.fallback.js:8:18
     34    0.0%    0.0%  LazyCompile: *Url.parse url.js:88:31
     33    0.0%    0.0%  LazyCompile: *ClientRequest _http_client.js:18:23
     32    0.0%    0.0%  Handler: error {55}
